date,lbs,,
4/22/2020,20644,,
4/24/2020,5918,,
4/29/2020,9200,,
5/1/2020,12641,,
5/6/2020,15570,,
5/8/2020,10199,,
5/13/2020,16434,,
5/14/2020,10884,,
5/15/2020,12942,,
5/20/2020,13222,,
5/21/2020,9844,,
5/22/2020,11546,,
5/27/2020,1398,,
5/27/2020,10559,,
5/28/2020,699,,
5/28/2020,6851,,
5/29/2020,1398,,
5/29/2020,7746,,
6/3/2020,12853,,
6/4/2020,12318,,
6/4/2020,4280,,
6/5/2020,9346,,
6/10/2020,14107,,
6/11/2020,8762,,
6/12/2020,9156,,
6/17/2020,54302,,
6/18/2020,9759,,
6/19/2020,10176,,
6/22/2020,3906,,
6/24/2020,14910,,
6/25/2020,10918,,
6/26/2020,11698,,
6/26/2020,11736,,
6/30/2020,5583,,
6/30/2020,6933,,
7/1/2020,13935,,
7/2/2020,10326,,
7/8/2020,11912,,
7/9/2020,11107,,
7/10/2020,17590,,
7/15/2020,654,,
7/15/2020,11453,,
7/16/2020,10138,,
7/17/2020,10133,,
7/22/2020,10149,,
7/23/2020,8282,,
7/24/2020,9094,,
7/24/2020,8178,,
7/28/2020,9044,,
7/28/2020,80,,
7/28/2020,30,,
7/29/2020,6750,,
7/29/2020,35325,,
7/29/2020,9178,,
7/30/2020,12681,,
7/31/2020,10135,,
7/31/2020,11451,,
8/4/2020,3508,,
8/5/2020,10269,,
8/6/2020,10394,,
8/7/2020,2551,,
8/7/2020,5741,,
8/12/2020,13288,,
8/13/2020,9694,,
8/14/2020,8423,,
8/14/2020,5010,,
8/14/2020,4250,,
8/18/2020,643,,
8/19/2020,13140,,
8/20/2020,15143,,
8/26/2020,1700,,
8/26/2020,14705,,
8/27/2020,5205,,
8/28/2020,13334,,
8/28/2020,16197,,
9/2/2020,14794,,
9/3/2020,4640,,
9/4/2020,12786,,
9/4/2020,12447,,
9/9/2020,10644,,
9/9/2020,11514,,
9/10/2020,5536,,
9/11/2020,14950,,
9/11/2020,14598,,
9/16/2020,13028,,
9/16/2020,12124,,
9/17/2020,9490,,
9/18/2020,11497,,
